condition,split,n,score_acc,text_acc,coherence_acc,score_acc_ci95_pp,text_acc_ci95_pp,coherence_acc_ci95_pp,text_score_agreement,home_pred_rate,away_pred_rate,draw_pred_rate
CoT,overall,128,0.4453125,0.53125,0.3515625,8.644410509941691,8.609629204005476,8.593966107962537,0.5859375,0.9921875,0.0078125,0.0
CoT,named,64,0.4375,0.546875,0.34375,12.163791043006988,12.113902779945878,12.221359790081815,0.578125,0.984375,0.015625,0.0
CoT,anon,64,0.453125,0.515625,0.359375,12.113902779945885,11.980898521419874,12.241649390220905,0.59375,1.0,0.0,0.0
ICL,overall,128,0.4921875,0.5625,0.4140625,8.556527074521513,8.651898826365805,8.661890858436516,0.6422764227642277,0.8203125,0.0078125,0.171875
ICL,named,64,0.5,0.5625,0.421875,11.897905256052987,12.163791043006988,12.202468459917093,0.6721311475409836,0.765625,0.0,0.234375
ICL,anon,64,0.484375,0.5625,0.40625,11.980898521419881,12.163791043006988,12.22979187139549,0.6129032258064516,0.875,0.015625,0.109375
n192,overall,128,0.6171875,0.4765625,0.421875,8.645521554970092,8.593956875950626,8.660652602889908,0.6953125,0.4453125,0.4375,0.1171875
n192,named,64,0.71875,0.46875,0.4375,12.008930282207409,12.052912948528993,12.163791043006988,0.640625,0.515625,0.328125,0.15625
n192,anon,64,0.515625,0.484375,0.40625,11.980898521419874,11.980898521419881,12.22979187139549,0.75,0.375,0.546875,0.078125
n384,overall,128,0.5078125,0.3984375,0.3203125,8.556527074521503,8.658009312407122,8.505338755478286,0.578125,0.515625,0.4609375,0.0234375
n384,named,64,0.5,0.34375,0.3125,11.897905256052987,12.221359790081815,12.142335702748152,0.65625,0.53125,0.4375,0.03125
n384,anon,64,0.515625,0.453125,0.328125,11.980898521419874,12.113902779945885,12.188394150908504,0.5,0.5,0.484375,0.015625
n48,overall,128,0.4609375,0.4453125,0.4453125,8.623266872794833,8.644410509941691,8.644410509941691,0.9765625,0.984375,0.015625,0.0
n48,named,64,0.453125,0.4375,0.4375,12.113902779945885,12.163791043006988,12.163791043006988,0.96875,0.984375,0.015625,0.0
n48,anon,64,0.46875,0.453125,0.453125,12.052912948528993,12.113902779945885,12.113902779945885,0.984375,0.984375,0.015625,0.0
n96,overall,128,0.515625,0.3203125,0.28125,8.57625496238516,8.505338755478286,8.338419128284269,0.671875,0.2109375,0.6015625,0.1875
n96,named,64,0.6875,0.28125,0.25,12.142335702748152,12.008930282207404,11.816276458669694,0.46875,0.359375,0.390625,0.25
n96,anon,64,0.34375,0.359375,0.3125,12.221359790081815,12.241649390220905,12.142335702748152,0.875,0.0625,0.8125,0.125
